participant_ID,corr_coeff,corr_coeff_z,OUS_IB,OUS_IH
12,,,,
892,,,,
ILL76EN,-0.9999999,-8.40562139102231,5.4,5.75
IND02SA,,,5.2,3.75
IND19RS,,,6.8,6.75
ING30NS,,,5.6,5.25
INN29TH,0.7317091157615133,0.9323961735730333,5.4,2.75
IVE09RO,0.6444022325288263,0.7656659936304416,4.8,4.0
KAT22WA,,,4.4,6.5
KEN16AD,0.8721736942508471,1.3420915410392518,5.2,2.75
KUT23NA,,,5.6,5.25
Ken21Lo,,,4.8,2.25
LAK05ER,-0.8787751491205611,-1.3703641170964882,3.6,2.0
LAM11UI,,,6.4,5.75
LAP15NT,-0.9999999,-8.40562139102231,5.4,4.25
LAW14SE,0.5948912015949688,0.6852025658296544,4.8,3.5
LAW27VI,0.9999999,8.40562139102231,2.4,3.75
LIN27ST,0.6485416171252952,0.7727775010260778,4.6,5.0
Lil20oe,0.9819805060619657,2.3501988554586175,3.8,3.75
MOU,,,5.2,4.0
Mai15er,,,3.2,3.25
NOR03IS,0.9958705948858226,3.0903511330503872,5.8,4.25
NOR08IA,0.5097970656333187,0.5624555350103912,3.4,4.75
OAK15KAC,,,,
OLE03TA,0.6445380308361562,0.7658982631808117,,
PIE28LD,,,2.4,4.75
PIT10IS,-0.6859943405700353,-0.8403498862140016,2.4,4.0
PLE24ON,,,6.0,2.0
PLY29ER,0.9999999,8.40562139102231,5.6,3.25
POC01AL,0.8713492407266172,1.338656764110355,3.0,5.25
PRI11TH,,,5.2,3.25
PRO05EY,,,6.0,6.25
Pea94ns,,,5.6,3.25
QUI24IG,,,3.2,4.5
Qui24ig,0.9999999,8.40562139102231,,
REN23AN,0.8317239361004066,1.193703487857183,,
RID09IA,0.3273268353539886,0.3398313641010904,5.0,1.75
RIV08CK,0.9999999,8.40562139102231,6.6,6.5
ROA09AN,-0.5897678246195887,-0.677309990731492,5.0,4.5
ROM03GO,0.22549380840084865,0.22943674825406335,6.0,4.0
SAN28LE,,,3.2,4.25
SAT17SI,,,4.8,5.0
SAW16IA,,,6.2,5.25
SEA25ES,0.9999999,8.40562139102231,4.2,4.75
SKI30WI,0.9014213146323033,1.4797509401655846,4.6,3.25
SOU05RY,-0.24871859740537403,-0.2540464484945518,2.4,4.5
SOU09CK,0.0,0.0,3.0,4.0
SPR11AN,,,5.6,2.0
STR15ND,0.3640468657768224,0.3815431622951989,3.2,4.5
SVI31VA,0.5222329678670935,0.5794051802149734,3.4,4.25
SVO07NA,,,3.4,4.0
TER06AW,0.3588546936714579,0.37557068437808566,6.4,4.25
TER12MO,,,1.0,1.5
THO20GI,,,3.2,4.25
WAL11RY,,,5.6,3.5
WEB02NU,,,4.4,5.0
WES94ER,,,4.0,2.25
WIN05RG,,,4.8,1.75
WIN20LS,,,5.6,5.5
WOO08GS,0.7384108348049663,0.9469757301391085,3.2,4.0
YJZ20YC,,,2.2,3.5
YOS12CK,0.5188676360811088,0.5747889714166357,7.0,6.5
bag20ki,,,,
cli10an,,,,
cou01ta,0.9875764348078269,2.5375381078651964,5.6,2.75
elb22an,,,4.6,5.25
hal13ez,,,,
lon20es,0.5332285519249768,0.5946456112259265,3.8,5.0
oce10ta,,,4.4,5.75
pla09so,,,4.8,2.25
ron03bs,0.6949238640288071,0.8574158646187763,5.8,4.75
wea07on,0.4982788244964669,0.547013869914196,4.6,4.5
